,제목,가사
3239,타이거 타운,<인디>저 먼 옛날 마을에 호랑이들이 있었지 사람을 잡아먹지 않고 사람에게 잡아 먹히는 처음에 사람들은 반신반의 했지만 호랑이가 안전하다는 걸 알고 나서는 마음껏 잡아 먹었지 나도 그걸 잡아먹으면서 자랐는걸요 해롭지 않아요 그러니까 음 다음에는 나를 잡아먹을 거라고 내게 말해줘 내 말 좀 들어봐요 어흥 저 먼 옛날 마을에 호랑이들이 있었지 사람을 잡아먹지 않고 사람에게 잡아 먹히는 처음에 사람들은 반신반의 했지만 호랑이가 안전하다는 걸 알고 나서는 웃으면서 잡아 먹었지 나처럼 나처럼 우린 모두 모두 배가 고팠지 넌 배가 고팠지 우린 배가 불렀어요 어흥
3240,영국으로 가는 샘이,<인디>영국으로 가는 샘이 하늘에서 멀어져 공항게이트로 가네 나보다 더 영어가 좋아 나는 아직도 여기 있는데 영국으로 가는 샘이 자꾸만 뒤돌아보지만 발걸음은 가벼웁네 나보다 더 영어가 좋아 나는 아직도 여기 있는데 영국으로 가는 샘이는 하늘에서 멀어져 공항게이트로 가네 내 마음에 활주로 모르는 채 힘껏 밟고 그렇게 날아가네 공항게이트에서 한 마지막 키스에 난 그대로 목메었네 아웃오브 사이트는 아웃오브 마인드라 그렇게 날아가네 난 보고 싶어라 영국으로 가는 샘이
3242,말이 통해야 같이 살지 (Hidden Track),<인디>말이 통해야 같이 살지 말이 통해야 같이 살지 말이 통해야 같이 살지 말이 통해야 같이 살지 말이 통해야 같이 살지 말이 통해야 같이 살지 말이 통해야 같이 살지 말이 통해야 같이 살지 너 때문에 맨날 노래를 하는 나는 언제쯤 말이 통해야 같이 살지 말이 통해야 같이 살지 말이 통해야 같이 살지 말이 통해야 같이 살지 말이 통해야 같이 살지 너 때문에 맨날 노래를 하는 나는 언제쯤 너 때문에 맨날 노래만 하는 나는 언제쯤 말이 통해야 같이 살지
3243,25시의 데이트 눈코방송,<인디>빠빠라빠빠 외로울 때 듣는 라디오 빠빠라빠빠 슬플 때도 들어요 눈코방송 25시의 데이트 까막귀님 어젯밤에 저희 삼촌이 돌아가셨어요 옥상에 올라가셨다가 실족을 하셔서 어처구니 없게 돌아가셨어요 평생 힘들게만 사시던 분인데 그렇게 되셨어요 그런데 참 이상한 일이죠 까막귀님 노인정에서 그 목격하신 할아버님 말씀에 의하면 삼촌 시신 옆에 호랑이 한마리가 조용히 앉아 있다가 훌쩍 떠나갔다고 해요 어떻게 생각하세요 라고 보내 오셨어요 음 사람의 눈이라는게 이상한걸 보기도 하니까요 다음 사연은 방배동 사시는 언니 사연이에요 요즘 매일 매일 힘들어요 저희 어머니는 이렇게 살라고 저를 낳으셨는지 모르겠어요 네 이유가 있으셔서 낳으셨겠죠 이 노래 들으시고 내일도 힘내서 출근하실 수 있기를 바랄게요 언니 화이팅
3246,보통날의 기적 (Feat. 폴킴),<인디> 내 보통뿐인 나날에 난 너에게 늘 감사해 저물어 가는 해는 약속을 하지 않아요 오늘이 지나가도 날 잊지 않길 바라요 내 보통뿐인 나날에 난 이미 너를 자랑해 저물어 가는 해는 약속을 하지 않아요 오늘이 지나가도 내 손을 놓지 말아요 내 보통뿐인 나날에 난 이미 너를 사랑해 저물어 가는 해는 약속을 하지 않아요 오늘이 지나가도 그대 나와 함께 가요 그대는 나의 그대는 나의 기적이죠 기적이죠 영원을 닮은 기다림 끝에 나를 찾아온 그대 일어나지 않을 것만 같았던 기적 보통날이 아름다운 건 그대란 기적 때문이죠 내 하루를 밝혀주는 건 그대란 이름의 빛이죠 난 이미 그대를 자랑해 난 이미 그대를 사랑해 그댄 내 보통날의 기적이죠
3247,빌런 (Villain),<인디> 어떤 것은 검은색 어떤 것은 하얀색 색안경을 끼고 보면 어떡해 넌 착한 사람이고 걘 나쁜 사람이고 재미없는 너의 세상은 흑백 어떻게 아직도 모를 수 있어 함부로 나를 좋아하지 마 왜 아닐 거라 생각해 아주 못돼먹은 작은 악마 같은 나인걸 몰라 왜 아닐 거라 생각해 미처 몰랐던 악마가 네 안에 숨 쉬고 있어 내가 제일 사랑하는 누군가는 또 다른 누군가에게는 개 네가 제일 미워하는 누군가는 사랑받는 누군가의 자식 어떻게 아직도 모를 수 있어 함부로 나를 좋아하지 마 왜 아닐 거라 생각해 아주 못돼먹은 작은 악마 같은 나인걸 몰라 왜 아닐 거라 생각해 미처 몰랐던 악마가 네 안에 숨 쉬고 있어 왜 아닐 거라 생각해 아주 못돼먹은 작은 악마들이 우린 걸 몰라 왜 아닐 거라 생각해 미처 몰랐던 악마 같은 우리를 좀 봐 
3248,인생 봄날 (Beautiful Mint Life),<인디>살랑 불어오는 바람이 좋아 활짝 미소 짓는 너도 좋은걸 봄이 지나는 길을 따라서 가벼워진 발걸음 지쳤던 일상들을 멀리 떠나도 좋아 우리가 찾던 완벽한 하루가 바로 여기에 있을 것 같아 나의 마음속에 네가 가득한 오늘 맑은 하늘 아래 들려온 노랫소리 우리 함께 부르는 멜로디 봄을 가득 채운 손으로 만든 그늘이 정말 귀여워 잔디밭에 앉아 뭐 좀 마실까 봄이 머무는 곳 네 곁에서 커져가는 설레임 속상한 마음들을 멀리 떠나도 좋아 한걸음 다가와준 너를 위해 사랑을 준비했으니까 나의 마음속에 네가 가득한 오늘 따스한 바람에 실려온 노랫소리 우리 함께 부르는 멜로디 봄을 가득 채운 꿈처럼 오늘 지나가도 함께 눈 맞추던 순간은 영원히 사라지지 않아 우리 마음속에 설렘 가득한 오늘 따스한 바람에 실려온 노랫소리 우리 함께 부르는 멜로디 봄을 가득 채운 
3250,월급은 통장을 스칠 뿐,<인디>나나나 나나나 나나나 나나나나나나 나나나나 나나나 나나나 나나나 나나나나나나 나 나나나 나나나 나나나 나나나나나나 나나나나 나나나 나나나 나나나 나나나나나나 나 어서 와요 곧 떠나겠지만 잠시나마 즐거웠어요 잘 가세요 하지만 다음엔 좀 오래오래 머물다 가요 난 매일 손꼽아 기다려 한달에 한번 그댈 보는 날 가난한 내 마음을 가득히 채워 줘 눈 깜짝하면 사라지지만 나나나 나나나 나나나 나나나나나나 나나나나 나나나 나나나 나나나 나나나나나나 나 반가워요 오랜만이지만 볼 때마다 아름답네요 가지마요 난 그대 없으면 말 그대로 거지란 말예요 난 매일 손꼽아 기다려 한달에 한번 그댈 보는 날 가난한 내 마음을 가득히 채워 줘 눈 깜짝하면 사라지지만 난 그대 없인 살 수 없어 왜 자꾸 나를 두고 멀리 가 가난한 내 마음을 가득히 채워 줘 눈 깜짝하면 사라지지만 스쳐 가지만 잊을 수 없는 이 맛 메마른 내 통장에 단비 같은 너 언제쯤에야 자유로울 수 있나 무한한 이 속박으로부터 난 매일 손꼽아 기다려 한달에 한번 그댈 보는 날 가난한 내 마음을 가득히 채워 줘 눈 깜짝하면 사라지지만 난 그대 없인 살 수 없어 왜 자꾸 나를 두고 멀리 가 가난한 내 마음을 가득히 채워 줘 눈 깜짝하면 사라지지만 나나나 나나나 나나나 나나나나나나 나나나나 나나나 나나나 나나나 나나나나나나 나 나나나 나나나 나나나 나나나나나나 나나나나 나나나 나나나 나나나 나나나나나나 나
3251,YOLO,<인디> 언젠가 한 번쯤은 해보고 싶었어 계획 없이 떠나는 여행 반복되는 하루들이 지겨워져서 오늘을 내게 선물하기로 해 열심히 살아왔잖아 이 정도의 사치는 부려도 되잖아 창밖의 밝은 별 하나 어서 가자 저기 멀리 저 불빛을 따라 오늘이 지나면 다시 돌아가겠지 그래도 하루만큼은 나를 위해 살고 싶어 오늘만큼은 애벌레가 아닌 어디든 좋아 나랑 너랑 우리 다 오늘은 모두 잊자 기차에 몸을 실어봐 어때 의자에 등을 기대봐 절대 후회는 하지 않을 거야 번데기는 나비가 될 거야 열심히 살아왔잖아 이 정도의 사치는 부려도 되잖아 창밖의 밝은 별 하나 어서 가자 저기 멀리 저 불빛을 따라 오늘이 지나면 다시 돌아가겠지 그래도 하루만큼은 나를 위해 살고 싶어 오늘이 지나면 다시 돌아가겠지 그래도 하루만큼은 나를 위해 살고 싶어 
3252,아름다워 (디깅클럽서울 Ver.),<인디>가사 아름다워 오 그대가 아름다워 아름다워 그대 모습이 아름다워 복잡한 도시를 나와 이름 모를 해변으로 우리는 함께 차를 달리네 아름다워 오 그대가 아름다워 아름다워 그대 모습이 아름다워 우리와 함께 달리는 뜨거운 태양 그대의 모습은 하늘의 천사 시원한 바람따라 마시며 우리는 해변을 걸어가네 어디선가 들려오는 소라들의 조용한 밀어 아름다워 오 그대가 아름다워 아름다워 그대 모습이 아름다워 달콤한 아이스크림 같은 그대의 입술 처음 느껴본 황홀한 순간 흥겨운 콧노래 부르며 우리는 산길을 걸어가네 어디선가 들려오는 연인들의 조용한 밀어 아름다워 오 그대가 아름다워 아름다워 그대 모습이 아름다워 달콤한 아이스크림 같은 그대의 입술 처음 느껴본 황홀한 순간 아름다워 오 그대가 아름다워 아름다워 그대 모습이 아름다워 아름다워 오 그대가 아름다워 아름다워 그대 모습이 아름다워 아름다워 오 그대가 아름다워 아름다워 크레딧 작사 윤수일 작곡 윤수일 편곡 기타 문석민 베이스 장승호 건반신스 코러스 스텔라장 믹스 마스터링 김대성 
3253,우르릉 쾅쾅쾅,<인디>잠결에 문득 눈을 뜨니 내 방의 천장이 사라지고 유난히 밝은 별들이 날 내려다보고 있었네 눈부시게 빛나는 하늘엔 다시금 천장이 드리우듯 유난히 짙은 먹구름 별들을 가리기 시작했네 내 방을 덮치는 소나기 흠뻑 다 젖어버린 이부자리 난 도망도 가지 못하고 그저 멍하니 침대 위에서 듣고 있었어 우르릉 쾅쾅쾅쾅 우르릉 쾅쾅쾅 우르릉 쾅쾅쾅쾅 우르릉 쾅쾅쾅쾅 우르릉 쾅쾅쾅 우르릉 쾅쾅쾅쾅 방바닥엔 물이 차오르고 차디찬 빗 줄긴 굵어지고 유난히 더딘 시간에 전부 잠겨버리고 말았네 내 방을 덮치는 소나기 흠뻑 다 젖어버린 이부자리 난 도망도 가지 못하고 그저 멍하니 침대 위에서 듣고 있었어 우르릉 쾅쾅쾅쾅 우르릉 쾅쾅쾅 우르릉 쾅쾅쾅쾅 우르릉 쾅쾅쾅쾅 우르릉 쾅쾅쾅 우르릉 쾅쾅쾅쾅 그 소리는 잦아들어 더 이상 나의 잠에 훼방을 놓지 않아 오랜 불청객 같았던 빗소리가 가끔 그리워져도 내 방에 그친 소나기 이제는 건조한 내 이부자리 들려오지 않는 우르릉 쾅쾅쾅쾅 우르릉 쾅쾅쾅 우르릉 쾅쾅쾅쾅 우르릉 쾅쾅쾅쾅 우르릉 쾅쾅쾅 우르릉 쾅쾅쾅쾅
3254,No Question,<인디>일어났어 잘 잤어 아침 먹어야겠다 버스 탔어 앉았어 서서 가면 힘들겠다 날씨가 많이 험상궂던데 우산은 가져왔어 요즘 밖이 좀 쌀쌀하던데 따뜻하게 입고 다녀 늦게 잤어 바빴어 문자를 이제 봤어 나 늦었어 연락할게 이따 일 끝난 거 봐서 우우우 이제는 없어진 우우우 우리의 이야기 이제는 궁금하지 않은지 나의 아침과 낮 또 점심과 밤이 넌 이 병의 이름은 내가 널 외롭게 둔 밤들을 난 생각해 솔직히 말해 내겐 슬픔을 피해 갈 아주 구체적 계획이 있어 널 떠날게 네 맘 안에 들어왔던 것처럼 그 창밖에 미안해 우우우 이제는 없어진 우우우 우리의너만의 이야기 이제는 궁금하지 않은지 나의 아침과 낮 또 점심과 밤이 넌 이 병의 이름은 내가 사랑한다 말할 때 입술 모양은 직선 행복해 네 표정은 띄엄띄엄 점선 사랑할 수 있을까
3255,It's Raining (Feat. 버벌진트),<인디> 그때 난 너무나 나약하고 겁이 많아서 널 보냈어 나는 아직도 생각이 나 우산도 없이 비를 맞던 그 거리의 너와 나 언젠가 다시 우연이 널 만나게 한다면 그땐 말할게 내 안의 진심 헤아려보니 어느덧 신기하게도 벌써 몇 개의 계절이 갔네 우리 산책 후 비에 젖어 들어간 조그만 가게 거기 간판 색 자꾸 이상하게 쳐다보던 시선들까지 다 기억이 나 아주 오래전의 이야기야 그때의 난 겁이 많았나봐 서로의 숨결이 닿은 순간마다 고개를 돌려 먼 곳을 보려했지 너도 이제는 이해할까 날 비가 오니까 괜히 생각이 나 혹시 널 다시 보게 된다면 할 수 있을 것만 같아 그 말 나는 아직도 생각이 나 우산도 없이 비를 맞던 그 거리의 너와 나 언젠가 다시 우연이 널 만나게 한다면 그땐 말할게 고마웠다고 
3256,환승입니다,<인디>신분당선을 타고 강남역에서 2호선으로 갈아타 11번 문 앞에 서서 열차를 기다리다가 눈물이 났어 화도 났어 그렇게 그 여자가 넌 좋았니 지하철에서 내려 밖에 나와서 마을버스로 갈아타 가방을 뒤져 지갑을 빼서 교통카드를 찍다가 눈물이 났어 화도 났어 어쩜 그리도 빨리 넌 변했니 여유가 없어졌다며 누굴 만날 준비가 안된 것 같다며 차라리 내게 말해 주지 그랬어 말해 주지 그랬어 이젠 내가 싫어졌다고 난 나중에 아주아주 부자가 될 거야 어딜 가든 택시만 타고 다닐 거야 아니면 내 차를 몰고 다닐 거야 다신 내가 갈아탈 일이 없게 다신 내가 널 생각하지 않게 오지라퍼들 뭘 봐 설마 우는 사람 처음 봐 걱정 마 몇 년만 지나면 다시 볼 일은 없을 테니까 부자가 돼야지 택시만 타야지 면허는 있어도 난 운전은 못 하니까 자차는 나중에 사야지 시간이 없어졌다며 너무 바빠 널 못 만날 것 같다며 차라리 내게 말해 주지 그랬어 말해 주지 그랬어 다른 사람이 생겼다고 난 나중에 아주아주 부자가 될 거야 어딜 가든 택시만 타고 다닐 거야 아니면 내 차를 몰고 다닐 거야 다신 내가 갈아탈 일이 없게 다신 내가 널 생각하지 않게 플랫폼에서 방금 전 놓친 열차를 바라보다가
